Title,Catalogue_Number,Year,Artist_Band,Record_Label,Record_Format
Gershwin: Porgy and Bess / An American in Paris,11037,,William Steinberg and the Pittsburgh Symphony Orchestra,ABC Records,"33 1/3 RPM - 12"""
Geschem (S'chor hanolod),0211526 / 0211527,,Cantor Sawel Kwartin,Polyphon,"78 RPM - 12"""
Geselech,B-579-A / B-579-B,,Menasha Oppenheim,Banner,"78 RPM - 10"""
Geshem,57079-F,,Cantor Maurice Ganchoff,Columbia,"78 RPM - 12"""
Geshem - Part II,1960-C / 1960-D,,Macy Nulman,Delmar,"78 RPM - 10"""
Geshem [Tfilot Nisham Ershter Teil],55199-B / 55199-A,1923-05-08,Cantor Joseph Rosenblatt,Victor - His Master's Voice,"78 RPM - 12"""
Geshosn un Getrofn,POC1007,,Israel Itzhaki ; Israel baker,EMI,"33 1/3 RPM - 12"""
Geshtorben auf Shpas,14071-A / 14071-B,,Sam Silberberg,Okeh,"78 RPM - 10"""
Gesselach,H-6007 A / H-6007 B,,Max Kletter,Asch Recording Studio,"78 RPM - 10"""
Gesselach,6007 A / 6007 B,,Max Kletter,Stinson,"78 RPM - 10"""
Get Me an Apartment,B-532-A / B-532-B,,Harry Ross,Banner,"78 RPM - 10"""
Get Move,BAN 15058,,Margalit Ankory,Hed-Arzi,Cassette tape
Get Rhythm in Your Feet (And Music in Your Soul),25081-A / 25081-B,1935-06-25,Benny Goodman; Helen Ward,Victor - His Master's Voice,"78 RPM - 10"""
Getting Out of Town,389-L / 389-T,1946-06-25,Artie Shaw; Mel Torme,Musicraft,"78 RPM - 10"""
Getzel At A Football Game,B-2012 A / B-2012 B,,Michel Rosenberg,Banner,"78 RPM - 10"""
Getzel at baseball game,B-2046 A / B-2046 B,,Michel Rosenberg,Banner,"78 RPM - 10"""
Getzel at the Baseball Game and other Beloved Getzel Stories,BAS 8-1005,,Michel Rosenberg,Banner,8-track tape
Getzel at the Baseball Game and other Beloved Getzel Stories,BAS-C-1005,,Michel Rosenberg,Banner,Cassette tape
Getzel at the Baseball Game and other Beloved Getzel Stories,BAS-1005,,Michel Rosenberg,Banner,"33 1/3 RPM - 12"""
Getzel Gets a Divorce,B-2075 A / B-2075 B,,Michel Rosenberg,Banner,"78 RPM - 10"""
Getzel in a Bank,B-2047 A / B-2047 B,,Michel Rosenberg,Banner,"78 RPM - 10"""
Geula,62749,,Geula Gill,CBS,"33 1/3 RPM - 12"""
Geula Gill,62481,,Geula Gill Trio - Shleeshaas,CBS,"33 1/3 RPM - 12"""
Geula Gill Greatest Hits,65595,,Geula Gill,CBS,"33 1/3 RPM - 12"""
Geula Gill Sings Israeli Folk Songs,AB2002,,Geula Gill,Aravel/ AB&B,"33 1/3 RPM - 12"""
Geula No. 2,62749,,Geula Gill,CBS,"33 1/3 RPM - 12"""
Geulah Songs (Songs of Redemption),5734,,Makhelat Hanoar; Haag Udati,Galton,"33 1/3 RPM - 12"""
"Gevald, die Mountains",8059-F,1924 - 1925,Abraham Moskowitz,Columbia,"78 RPM - 10"""
"Gevald, vi iz mein man?",8065-F,1924,Bessie Weisman,Columbia,"78 RPM - 10"""
Gevatron The Israeli Kibbutz Folk Singers,DD 35295,,Gevatron,Hataklit,Cassette tape
Gewen Amul Asztetele,S-1504A / S-1504B,,Diana Blumenfeld,Spiro,"78 RPM - 10"""
Gewes A Mol Majse,8060,1930?,Irene De Noiret,Varsity,"78 RPM - 10"""
Ghetto Tango - Wartime Yiddish Theater,CD 4297,,Adrienne Cooper; Zalmen Mlotek,Traditional Crossroads,CD
Ghozu Ghez,KZ.1001 / KZ.1002,,Bracha Zefira,Kol Zion,"78 RPM - 10"""
"Giants of Jazz - Benny Goodman, Record 1",P3 14790,,Benny Goodman,Time Life records,"33 1/3 RPM - 12"""
"Giants of Jazz - Benny Goodman, Record 2",P3 14790,,Benny Goodman,Time Life records,"33 1/3 RPM - 12"""
"Giants of Jazz - Benny Goodman, Record 3",P3 14790,,Benny Goodman,Time Life records,"33 1/3 RPM - 12"""
Gib Mir Bessarabia,8242-F,,Aaron Lebedeff,Columbia,"78 RPM - 10"""
Giborei Isroel,8149-F,1927-08,Irving Grossman,Columbia,"78 RPM - 10"""
Gila,IS-157,,Gila Ronen,Isra-Art Records,"33 1/3 RPM - 12"""
Gila Almagor,BAN 14373,,Gila Almagor,Hed-Arzi,"33 1/3 RPM - 12"""
Gilbert & Sullivan and Danny Kaye,DL 5094,,Danny Kaye,Decca,"33 1/3 RPM - 10"""
Gimpel Beinish Beim Doctor,E2817,1915-05-25,Isidor Lillian; Louis Gilrod,Columbia,"78 RPM - 10"""
Gimpel Beinish Nuch Der Chassene,E3276,1909-12-15,C. Rosenthal; Jacob Jacobs,Columbia,"78 RPM - 10"""
Gimpel the Fool and the Man who came Back,TC 1200,,Isaac Bashevis Singer,Caedmon,"33 1/3 RPM - 12"""
Gin Rummy (With Yenta Telebenda),B-2063 A / B-2063 B,,Jacob Jacobs; Betty Jacobs,Banner,"78 RPM - 10"""
Ginsberg from Schotland Yard,1008-A / 1008-B,,Belle Baker,Gala,"78 RPM - 10"""
Girometta,64967,1921-01-24,Sophie Braslau,Victrola Record,"78 RPM - 10"" single-sided"
Git Azoy (It's Good This Way),DRK-204,,The 12 Corners Klezmer Band,Dynamic Recording,CD
Git is zi Huben Gelt,72544-A / 72544-B,1919-09-30,Anna Hoffman; Jacob Jacobs,Victor - His Master's Voice,"78 RPM - 10"""
Git Mir a Yidisha Heim,D7-CB-1672 / D7-CB-1673,,Jacob Frankel,RCA Victor,"78 RPM - 10"""
Git Mir Die Meidlach Fun Amol,8080-F,1925-08,Peisachke Burstein,Columbia,"78 RPM - 10"""
Gittele & Goldele Malavsky Sing Yiddish-American Songs,T 30,,Gittele & Goldele Malavsky,Tikva - Eurotone,"33 1/3 RPM - 12"""
Give Me My Mammy,A3540,1921-10-21,Al Jolson,Columbia,"78 RPM - 10"""
Give Me the Sultan's Harem (Won't You GiveThat Harem to Me?),10105,1919-09,Eddie Cantor,Emerson,"78 RPM - 10"""
Gladys Gerwitz Sings Hebrew Playsongs,MEN LP 203,,Gladys Gerwitz,Menorah,"33 1/3 RPM - 12"""
Glat Azoi!,73481-A / 73481-B,1920-01-27,Rubin Goldberg,Victor - His Master's Voice,"78 RPM - 10"""
Glatt Kosher,Shanachie 21004,,The Andy Statman Klezmer Orchestra,Shanachie Records,"33 1/3 RPM - 12"""
Gloldmark Violin Concerto,S 37445,,Itzhak Perlman,Angel Records,"33 1/3 RPM - 12"""
Gloria Plotnik Bookstein - Vocal Recital,,,Gloria Plotnik Bookstein,Private label,"33 1/3 RPM - 12"""
Glorious,MM 111,,Abraham Kaplan,Hansen Records,"33 1/3 RPM - 12"""
Glory of the Sabbath - Rozo D'Shabbos - Volume 2,CG 645,1969,Cantor Zawel Kwartin,Collector's Guild,"33 1/3 RPM - 12"""
Go Fight City Hall - Bei Mir Bistu Schoen,T-72,,Doris Cohen;Alan Chester,Tikva - Eurotone,"33 1/3 RPM - 12"""
Go Fly a Kite,B-10347-A / B-10347-B,1939-06-05,Artie Shaw; Tony Pastor,Bluebird,"78 RPM - 10"""
Go International,T 107,,Sara Aviani and her Yemenite Trio from Israel,Tikva - Eurotone,"33 1/3 RPM - 12"""
Go International,ST-107,,Sara Aviani and her Yemenite Trio from Israel,Tikva - Eurotone,"33 1/3 RPM - 12"""
Go Meshuggah!,102730,1995,,Unknown,CD
God Be with You Till We Meet Again,87520,1917-09-18,Alma Gluck; Efrem Zimbalist,Victrola Record,"78 RPM - 10"" single-sided"
God Be with You Till We Meet Again,87278 / 20-3879-B / 20-3879-A,1917-09-18,Alma Gluck; Efrem Zimbalist,Victrola Record,"78 RPM - 10"" single-sided"
God Bless America,42-0156,1939-03-21,Kate Smith,RCA Victor,"78 RPM - 10"""
God Bless America,42-0156,1939-03-21,Kate Smith,RCA Victor,"78 RPM - 10"""
Goin' Out of My Head,S 63459,,Geula Gill,CBS,"33 1/3 RPM - 12"""
Going Home - Gems of Yiddish Song,ERS 1,,Eleanor Reissa,GB Sound,Cassette tape
Golda Goes to Washington,858,,Dave Barry,Dore,45 RPM
Golda Tencer - Jewish Songs,FS 001,,Golda Tencer,Fundacja,Cassette tape
Goldele Dem Becker's,1053 / 1053-A,1947,Herman Yablakoff,Sun,"78 RPM - 10"""
Golden Chants in America - Commemorating 350 Years of Jewish Music in America,,,Cantor Rebecca Garfein,Bari Productions,CD
Golden Chassidic Songs,HL-8090,,Dudu Fisher,Helicon Records,Cassette tape
Golden Days of Radio,SY 5184,,Jack Benny,Living Sounds,"33 1/3 RPM - 12"""
Golden Favorites,2790,,Ron Eliran,Vagabond Records,Cassette tape
Golden Festival 1973,SI 31048,,Gabi Shoshan; Yaffa Yarkoni; Zvika Pick,Isradisc Ltd.,"33 1/3 RPM - 12"""
Golden Gate,24107,1947-06-18,Al Jolson,Decca,"78 RPM - 10"""
Golden Gate,3775,1928-01-13,Al Jolson,Brunswick,"78 RPM - 10"""
Golden Hits of Israel Vol 1,TDP-2001,,Various,RCA Victor,"33 1/3 RPM - 12"""
Golden Hits of Israel Vol 2,TDP-2002,,Various,RCA Victor,"33 1/3 RPM - 12"""
Golden Israeli Trumpet,82749,,Ilan Eshed,CBS,"33 1/3 RPM - 12"""
"Golden Israeli Trumpet, Vol. 2",83259,,Ilan Eshed,CBS,"33 1/3 RPM - 12"""
Golden Jubilee Record 1917-1967,10788,,Chaim Towber,CT,"33 1/3 RPM - 12"""
Golden Moments of Song,LM-2101,,Jan Peerce,RCA Victor,"33 1/3 RPM - 12"""
Golden Moments with Jack Waine,TE-1000,,Jack Waine,Tempi,"33 1/3 RPM - 12"""
Golden Pages of Jewish Liturgial Music,PTCD44320,1994,Moscow Jewish Choir,MJC Music Co,CD
Golden Slumbers,1020,,various,Soundbook,"33 1/3 RPM - 10"""
Golden Songs,65528,,Naomi Shemer,CBS,"33 1/3 RPM - 12"""
Golden Songs,EMB 31240,,Yaffa Yarkoni,Embassy,"33 1/3 RPM - 12"""
Golden Songs of Israel,65034,,various,CBS,"33 1/3 RPM - 12"""
Golden Songs of Israel,P11703,,various,CBS,"33 1/3 RPM - 12"""
Golden Songs of Israel,65732,,Various,CBS,"33 1/3 RPM - 12"""
Golden Songs of Israel,PR-INT-13069,,Ron Eliran,Prestige International,"33 1/3 RPM - 12"""
Golden Songs of the Golden Voice,,,Norman Brody,Private label,CD
Golden Strings,120384,,Alex Feldman,Prince Enterprises Studio,Cassette tape
Golden Voices of Israel,LPT-1017,,Various,RCA Victor,"33 1/3 RPM - 12"""
Golden Voices of Israel,GRC 184,,Cantors Pinchos Borenstein; Leib Glantz,Greater Recording Co.,"33 1/3 RPM - 12"""
Golden Voices of Israel,530 248,,Sawel Kwartin; Joseph Rosenblatt; Pierre Pinchik,Eastronics Ltd.,"33 1/3 RPM - 12"""
Golden Voices of Israel,530.248 (LPT-1017),,Bagelman Sisters and Others,RCA Victor,"33 1/3 RPM - 12"""
Golden Voices of Israel - Volume 2,GRC 252,,Various,Greater Recording Co.,"33 1/3 RPM - 12"""
Golden Voices of Israel - Volume 3,GRC 254,1973,Various,Greater Recording Co.,"33 1/3 RPM - 12"""
Golden Voices of Israel No 3,TDP 2003,,Bagelman Sisters and Others,RCA,"33 1/3 RPM - 12"""
Golden Voices of Israel Sing For Shabath,IMC 1024,,Various,Israel Music Foundation,Cassette tape
Golden Voices of Israel The High Holidays,IMC 1023,,Rosenblatt; Koussevitzky; Glantz; Kwartin; Vigoda; Alexandrovich,Israel Music Foundation,Cassette tape
Golden Voices of Israel The High Holidays,ICD 31473,,Rosenblatt; Koussevitzky; Glantz; Kwartin; Vigoda; Alexandrovich,Israel Music Foundation,CD
Golden Voices of Israel Vol. 3,IMC 1026,,various,Israel Music Foundation,Cassette tape
Golden Voices of Israel Yiddish Masterieces,IMC 1025,,Golden Voices of Israel,Israel Music Foundation,Cassette tape
Golden Voices of the Synagogue,IMC 1066,,various artists,Israel Music Foundation,Cassette tape
Golden Voices of the Synagogue,ICD 5006,,various,Israel Music Foundation,CD
Golden Yiddish Favorites,CD-31201,,David Fisher,Isradisc Ltd.,CD
Golden Yiddish Favorites,C 31201,,,Isradisc Ltd.,Cassette tape
Golden Yiddish Favorites,TC 31180,,David Fisher,Isradisc Ltd.,Cassette tape
Golden Yiddish Favorites - 20 Songs,R 31201,,David Fisher,Isradisc Ltd.,Cassette tape
Goldfaden Songs by Richard Tucker,FL 9506,,Richard Tucker,Columbia,"33 1/3 RPM - 10"""
Goldmark - Concerto in A Minor for violin and orchestra,PAO-8414,,Nathan Milstein,Capitol Records,"33 1/3 RPM - 12"""
Goldstein Behind the Bars,18231-A / 18231-B,1916-12-22,Ralph Bingham,Victor - His Master's Voice,"78 RPM - 10"""
Golliwog's Cake Walk / Maid with the Flaxen Hair,71637-D,,Oscar Levant,Columbia,"78 RPM - 12"""
Golliwog's Cake Walk / Maid with the Flaxen Hair,72070-D,,Oscar Levant,Columbia,"78 RPM - 12"""
"Good Evenin', Good Lookin'!",36109,1941-05-05,Benny Goodman; Helen Forest,Columbia,"78 RPM - 10"""
Good Luck (Mazeltuf),8001-A / 8001-B,,Dave Tarras,Savoy,"78 RPM - 10"""
Good Morning Sue,87168,1913-09-17,Ernestine Schumann-Heink,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
Good Morning! / Kum Bachur Atsel / Achinu Yaakov / Boker,S-1 / S-2,,Gladys Gerwirtz; Eve Lippman,Menorah,"78 RPM - 7"""
Good Night Songs for Tots,52997,,Chava Alberstein; Yaffa Yarkoni; Shila Chen,CBS,"33 1/3 RPM - 12"""
"Good Night, Dear Lord",CS 8012,,Johnny Mathis,Columbia,"33 1/3 RPM - 12"""
Good Old Eretz Israel,83590,,Arik Einstein,CBS,"33 1/3 RPM - 12"""
Good Old Eretz Israel,13038,,Arik Einstein,Phonodor,"33 1/3 RPM - 12"""
Good Old Eretz Israel - Vol 2,13112,,Arik Einstein,Phonodor,"33 1/3 RPM - 12"""
Good Old Eretz Israel - Vol 3,13136,,Arik Einstein; Avner Kenner,Phonodor,Cassette tape
Good Old Eretz Israel - Vol 3,13136,,Arik Einstein; Avner Kenner,Phonodor,"33 1/3 RPM - 12"""
Good-Bye,25215-A / 25215-B,1935-09-27,Benny Goodman,Victor - His Master's Voice,"78 RPM - 10"""
Goodbye Golus,HLC-505,,Avraham Fried,Holyland Music,"33 1/3 RPM - 12"""
"Goodbye, Kaiser",72071-B / 72071-A,1918-05-17,Anna Hoffman; Jacob Jacobs,Victor - His Master's Voice,"78 RPM - 10"""
Goodnight My Love ; Take Another Guess,25461-A / 25461-B,1936-11-05,Benny Goodman,Victor - His Master's Voice,"78 RPM - 10"""
Gopak,6035 A / 6035 B,,Kiev Balalaika Orchestra,Stinson,"78 RPM - 10"""
Got Fin Avraham,51002-A / 51002-B,1910-12-01,Hyman Adler,Zon-O-Phone,"78 RPM - 12"""
Gott Far Vos Shtrofstu Deine Kinder,6011-A / 6011-B,,Cantor Jacob Bernard,Stinson,"78 RPM - 10"""
Gott fin Yisroel,73236-A / 73236-B,1922-02-06,Simon Paskal,Victor - His Master's Voice,"78 RPM - 10"""
Gott Get Some Shut-Eye,26159-A / 26159-B,1938-02-01,Benny Goodman,Victor - His Master's Voice,"78 RPM - 10"""
Gott Shenkt Jeden Kind Sein Mamen,40006-A / 40006-B,1921-08,Simon Paskal,Brunswick,"78 RPM - 10"""
Gott Shik A Refueh Der Mamen,78367-A / 78367-B,1925-10-15,Fannie Lubritzky; Leon Blank,Victor - His Master's Voice,"78 RPM - 10"""
Gott Un Sein Mishchpot Is Gerecht,65256-B / 65256-A,1905-12,Solomon Smuelwitz; Solomon Small,Victor - His Master's Voice,"78 RPM - 10"""
Gott Un Sein Mishchpot Is Gerecht,3010,1905-12,Solomon Smuelwitz; Solomon Small,Zon-O-Phone,"78 RPM - 10"" single-sided"
Gott Un Sein Mishpot Is Gerecht,1080,1905,Herr Shmulevitz,The United Record Co. ,"78 RPM - 10"" single-sided"
Gott Un Zein Mishpt Is Gerecht,1052 / 1052-A,,Velvelle Rothstein,Sun,"78 RPM - 10"""
Gott Un Zein Mishpt Is Gerecht,1052 B / 1052 A,,William Royal; Velvelle Rothstein,A.B.C. Recording Company,"78 RPM - 10"""
Gott und sein mishpot is gerecht,E4207,1918-11,Kalman Juvelier,Columbia,"78 RPM - 10"""
Gott von Avrime,68342-B / 68342-A,1910-12-01,Hyman Adler,Victor - His Master's Voice,"78 RPM - 12"""
"Gott, Mensch Und Teufel: Mismor L' David",E5019,1911-02-17,Hyman Adler,Columbia,"78 RPM - 12"""
Gotta Be This Or That,36813,1945-04-27,Benny Goodman,Columbia,"78 RPM - 10"""
Gotta Be This or That (Part 1),C753,1945-04-27,Benny Goodman,Columbia,"78 RPM - 10"""
Gotteniu gib a dreh dos reidele,E3407,1917,Kalman Juvelier,Columbia,"78 RPM - 10"""
Grace After Meals,YU 101/2,,Seymour Silbermintz,Yeshiva University,"33 1/3 RPM - 12"""
Grand Adagio,970-A / 970-B,1922-10-19,Jascha Heifetz,Victrola Record,"78 RPM - 10"""
"Grand Opera Gala for Orchestra and Chorus, Vol. 2",S 230027,,Arthur Fiedler; The Boston Pops Orch.; The Robert Shaw Chorale,RCA,8-track tape
Grandma Rebecca,5-64937,,Rivka Zohar,CBS,"33 1/3 RPM - 12"""
Grant Us Peace - The Lifework of Arthur J. Goldberg,,,Mel Alpern; Herb Duncan,UAHC,"33 1/3 RPM - 12"""
Great Artists Perform Music from Israel,MHS 3241,,Various,Musical Heritage Society,"33 1/3 RPM - 12"""
Great Bel-Canto Hebrew Arias,IMC 1054,,Joseph Malovany,Israel Music Foundation,Cassette tape
Great Biblical Scenes in Music,,,Lazare Saminksy,New Records,"33 1/3 RPM - 10"""
Great Cantors of the Past - Volume 1,T 329,,Various,TAP Records,"33 1/3 RPM - 12"""
Great Cantors of the Present,S-1003,,Various,Celebrity Records,"33 1/3 RPM - 12"""
Great Children Stories no. 1,AN 48-62,,Chana Maron; Elisheva Michaeli; Ada Tal,Hed-Arzi,"33 1/3 RPM - 12"""
Great Days We Honor,FO-7L-0318/9,,Rabbi Abba Hillel Silver ; Rabbi Nelson Glueck,RCA Victor,"33 1/3 RPM - 10"""
Great Hebrew Prayers in Song,SW 99410,,Simon Hass,Decca,"33 1/3 RPM - 12"""
Great Hebrew Prayers in Song,TW 91410,,The Rev. Simon Hass,London International,"33 1/3 RPM - 12"""
Great Jewish Melodies - The Voice of Simon Hass,NSPL 18562,,Simon Hass,Phonodisc,"33 1/3 RPM - 12"""
Great Jewish Music,TZ 7116,,Serge Gainsbourg,Tzadik,CD
Great Jewish Music: Sasha Argov,TZ7173,,Sasha Argov,Tzadik,CD
Great Moments of Comedy,V-15048,,Shelley Berman,Verve,"33 1/3 RPM - 12"""
Great Moments of Comedy,V-15049,,Mort Sahl,Verve,"33 1/3 RPM - 12"""
Great Odessa Cantors,M7326,1973,Cantors: Ganshoff; Rutman; Roitmasn,Musique Internationale,"33 1/3 RPM - 12"""
Great Operatic Arias,VRS 1129,,Jan Peerce,Vanguard,"33 1/3 RPM - 12"""
Great Operatic Arias,VSD 71129,,Jan Peerce,Vanguard,"33 1/3 RPM - 12"""
Great Religious Chants,LM137,,Cantor Moshe Kusevitsky,RCA Victor,"33 1/3 RPM - 10"""
Great Romantic Piano Favorites,VICS 1649,,Vladimir Horowitz,RCA Victrola,"33 1/3 RPM - 12"""
Great Singing Star,LAC-779,,La Bianca,La Car Records,"33 1/3 RPM - 12"""
Great Songs from Great Musicals,S 70085,,Geula Gil; Rivka Raz; Aric Lavie; Yehoram Gaon,CBS,"33 1/3 RPM - 12"""
Great Songs of the Hebrew Faith,5424,,Cantor Aaron Kritz,Van Buren Artistic Recordings,"33 1/3 RPM - 10"""
"Great Songs of the Yiddish Stage, Volume 1",8.559405,,Various,Naxos,CD
"Great Songs of the Yiddish Stage, Volume 2",8.559432,,Various,Naxos,CD
Great Synagogue Composers - Volume VII,CM 7607,,Cantor Moshe Ganchoff,Musique Internationale,Cassette tape
"Great Synagogue Composers, Vol XVI",CM 7616,,Jacob Konigsberg,Musique Internationale,Cassette tape
"Great Synagogue Composers, Vol. II - Eliezer Gerowitch/New Year Service",M 7602,,Cantor Moshe Ganchoff,Musique Internationale,"33 1/3 RPM - 12"""
"Great Synagogue Composers, Vol. III - 19th Century Cantor Composers",M 7603,,Cantor Moshe Wohlberg,Musique Internationale,"33 1/3 RPM - 12"""
"Great Synagogue Composers, Vol. VIII",M 7608,,Various,Musique Internationale,"33 1/3 RPM - 12"""
"Great Synagogue Composers, Vol. X - Louis (Eliezer) Lewandowski",M 7610,,Various,Musique Internationale,"33 1/3 RPM - 12"""
Great Voices of Israel,783,,Rosenblatt; Sirota; Herschman,Studio Recordings,"33 1/3 RPM - 12"""
Great Voices of the Synagogue,CG 590,,Various,Collector's Guild,"33 1/3 RPM - 12"""
Great Yiddish Melodies,Zimray 104,,Sol Zim,Zimray,Cassette tape
Great Yiddish Songs,40102,,Henry Gerro,Hataklit,Cassette tape
Great Yiddish Songs,40101,,various artists,Hataklit,Cassette tape
Greatest Hit's of the 40's,ARS1-0043,,Arthur Fiedler and the Boston Pops,RCA,8-track tape
Greatest Hits,65723,,Aris San,CBS,"33 1/3 RPM - 12"""
"Greatest Hits of Zahal Troupes, Vol. 2",BAN14564,,Zahal's Troupes,Hed-Arzi,"33 1/3 RPM - 12"""
Greatest Hits of Zahal's Troupes,BAN14563,,Zahal's Troupes,Hed-Arzi,"33 1/3 RPM - 12"""
Greatest Miracle of All,64887,1919-12-23,Sophie Braslau,Victrola Record,"78 RPM - 10"" single-sided"
Greatest Sephardic Hits,LP-3005,,David Abikzer,Menorah,"33 1/3 RPM - 12"""
Greatest Shticks,KOC CD8059,,Mickey Katz,Koch Records,CD
Greatest Wedding Hits,DH 103,,David Holstein,Noam Productions,Cassette tape
Greatest Yiddish Hits - No. 2,CBS-64880,,,CBS,Cassette tape
Greatest Yiddish Hits - No. 2,64880,,Various,CBS,"33 1/3 RPM - 12"""
Greatest Yiddish Hits - No. 2,CBS-64880,,,CBS,8-track tape
Greek-Jewish Musical Traditions,FE 4205,,Amnon Shiloah,Folkways Ethnic Records,"33 1/3 RPM - 12"""
Green Eyes,R.R. 186,,Jaffe Jarkoni,Reuveni Bros.,"33 1/3 RPM - 12"""
GreeneSongs,810-19,,UAHC Greene Family Camp,Private label,"33 1/3 RPM - 12"""
Greenfields - Hits of the Sixties,HL 8008,,various,Helicon Records,Cassette tape
Greetings From Israel,AN 84-34,,Schamai Rosenblum,Hed-Arzi,"33 1/3 RPM - 12"""
Greetings From Russia,ERC 002,,Moshe Schulhof,Emes,Cassette tape
Greta,H-0056,,Greta Keller,Heritage,"33 1/3 RPM - 10"""
Grine Medine,CD 131,,Di Goyim,Syncoop,CD
Guela Gill sings Folk Dances of Israel,MEN-204,,Guela Gill,Menorah,"33 1/3 RPM - 12"""
Guitarre,64823,1918-10-03,Jascha Heifetz,Victrola Record,"78 RPM - 10"" single-sided"
Gulliver be-eretz haanakim] Gulliver in the Land of Giants,5,,Chayim Topol,Lego,"33 1/3 RPM - 10"""
Gus Goldstein & Anna Hoffman (1916),JSA 1087,,Gus Goldstein ; Anna Hoffman,JSA,CD
Gus Goldstein & Clara Gold (1917-1919) Vol. 1,JSA 1088,,Gus Goldstein ; Clara Gold,JSA,CD
Gus Goldstein & Clara Gold (1920) Vol. 2,JSA 1089,,Gus Goldstein ; Clara Gold,JSA,CD
Gus Goldstein & Clara Gold (1921) Vol. 3,JSA 1090,,Gus Goldstein ; Clara Gold,JSA,CD
Gus Goldstein & Clara Gold (1922) Vol. 4,JSA 1091,,Gus Goldstein ; Clara Gold,JSA,CD
Gus Goldstein (1916-1917) Vol. 1,JSA 1084,,Gus Goldstein,JSA,CD
Gus Goldstein (1918-1919) Vol. 2,JSA 1085,,Gus Goldstein,JSA,CD
Gus Goldstein (1920-1922) Vol. 3,JSA 1086,,Gus Goldstein,JSA,CD
Gut Shabes,1A-0024-B / 1A-0024-A,,Sidor Belarsky,RCA Victor,"78 RPM - 10"""
Gut Shabes / Der Gemore Nign,53-5115,,Sidor Belarsky,RCA Victor,45 RPM
Gut Shabes ; Der Gemore Nign,25-5115,,Sidor Belarsky,RCA Victor,"78 RPM - 10"""
Gut Yom-Tev Kinder! - A Treasury of Children's Songs for Jewish Holiday and Other Occasions,,,Workmen's Circle Schools,Workmen's Circle,Cassette tape
Gut Yom-Tev Kinder! - A Treasury of Children's Songs…,WC-5,,Workmen's Circle Schools-Children's Chorus,Workmen's Circle,"33 1/3 RPM - 12"""
Gute Nacht un Di Tnoyim,35127-A / 35127-B,1910-06-13,Madame Einhorn Abramson,Victor - His Master's Voice,"78 RPM - 12"""
Gvanim,DD 35138,,Gevatron,Hataklit,"33 1/3 RPM - 12"""
Gvanim,MM35260,,Gevatron,Hataklit,"33 1/3 RPM - 12"""
Gwiazdy Na Dachu,LP 119,,unknown,Wifon,"33 1/3 RPM - 12"""
Gypsy Airs No. 1,74689,1919-10-14,Jascha Heifetz,Victrola Record,"78 RPM - 12"" single-sided"
Gypsy Airs No. 1,6153-A / 6153-B,1919-10-14,Jascha Heifetz,Victrola Record,"78 RPM - 12"""
Gypsy Airs No. 2,74694,1919-10-13,Jascha Heifetz,Victrola Record,"78 RPM - 12"" single-sided"
Gypsy Caprice,6712-A / 6712-B,,Fritz Kreisler,Victrola Record,"78 RPM - 12"""
Gypsy Festival,87278 / 20-3879-B / 20-3879-A,,Irving Fields,RCA Victor,"78 RPM - 10"""
Gypsy Love Song,1056-A / 1056-B,1924-07-22,Efrem Zimbalist,Victrola Record,"78 RPM - 10"""
Gypsy Romance,G.M. 503 / G.M. 507,,Jan Bart,Seva,"78 RPM - 10"""
